"범죄별(1)","범죄별(2)","자치구별(1)",자치구별(2),시점,발생,검거
"합계","소계","합계",소계,2023,86213,64823
"합계","소계","합계",종로구,2023,2981,3485
"합계","소계","합계",중구,2023,3348,2465
"합계","소계","합계",용산구,2023,3021,2268
"합계","소계","합계",성동구,2023,2023,1411
"합계","소계","합계",광진구,2023,3424,2333
"합계","소계","합계",동대문구,2023,2957,2301
"합계","소계","합계",중랑구,2023,3324,2474
"합계","소계","합계",성북구,2023,2411,1958
"합계","소계","합계",강북구,2023,2497,2142
"합계","소계","합계",도봉구,2023,1921,1406
"합계","소계","합계",노원구,2023,3567,2607
"합계","소계","합계",은평구,2023,3493,2678
"합계","소계","합계",서대문구,2023,2385,1641
"합계","소계","합계",마포구,2023,3834,2888
"합계","소계","합계",양천구,2023,3019,2135
"합계","소계","합계",강서구,2023,4296,3544
"합계","소계","합계",구로구,2023,3737,2632
"합계","소계","합계",금천구,2023,2240,1753
"합계","소계","합계",영등포구,2023,4418,3387
"합계","소계","합계",동작구,2023,2642,1763
"합계","소계","합계",관악구,2023,4769,3496
"합계","소계","합계",서초구,2023,4522,3049
"합계","소계","합계",강남구,2023,6763,4992
"합계","소계","합계",송파구,2023,5223,3520
"합계","소계","합계",강동구,2023,3398,2495
"합계","살인","합계",소계,2023,150,144
"합계","살인","합계",종로구,2023,5,6
"합계","살인","합계",중구,2023,3,3
"합계","살인","합계",용산구,2023,3,4
"합계","살인","합계",성동구,2023,2,1
"합계","살인","합계",광진구,2023,2,2
"합계","살인","합계",동대문구,2023,5,6
"합계","살인","합계",중랑구,2023,6,6
"합계","살인","합계",성북구,2023,1,1
"합계","살인","합계",강북구,2023,7,7
"합계","살인","합계",도봉구,2023,7,6
"합계","살인","합계",노원구,2023,7,6
"합계","살인","합계",은평구,2023,7,7
"합계","살인","합계",서대문구,2023,5,5
"합계","살인","합계",마포구,2023,3,1
"합계","살인","합계",양천구,2023,6,5
"합계","살인","합계",강서구,2023,1,2
"합계","살인","합계",구로구,2023,12,12
"합계","살인","합계",금천구,2023,4,3
"합계","살인","합계",영등포구,2023,12,12
"합계","살인","합계",동작구,2023,3,2
"합계","살인","합계",관악구,2023,16,17
"합계","살인","합계",서초구,2023,7,8
"합계","살인","합계",강남구,2023,14,11
"합계","살인","합계",송파구,2023,8,5
"합계","살인","합계",강동구,2023,4,6
"합계","강도","합계",소계,2023,129,117
"합계","강도","합계",종로구,2023,5,7
"합계","강도","합계",중구,2023,6,5
"합계","강도","합계",용산구,2023,3,3
"합계","강도","합계",성동구,2023,2,2
"합계","강도","합계",광진구,2023,5,3
"합계","강도","합계",동대문구,2023,4,3
"합계","강도","합계",중랑구,2023,2,2
"합계","강도","합계",성북구,2023,1,1
"합계","강도","합계",강북구,2023,1,1
"합계","강도","합계",도봉구,2023,4,3
"합계","강도","합계",노원구,2023,3,4
"합계","강도","합계",은평구,2023,3,1
"합계","강도","합계",서대문구,2023,-,2
"합계","강도","합계",마포구,2023,4,4
"합계","강도","합계",양천구,2023,2,2
"합계","강도","합계",강서구,2023,6,4
"합계","강도","합계",구로구,2023,7,7
"합계","강도","합계",금천구,2023,5,4
"합계","강도","합계",영등포구,2023,10,10
"합계","강도","합계",동작구,2023,3,4
"합계","강도","합계",관악구,2023,10,10
"합계","강도","합계",서초구,2023,9,5
"합계","강도","합계",강남구,2023,20,18
"합계","강도","합계",송파구,2023,9,8
"합계","강도","합계",강동구,2023,5,4
"합계","강간·강제추행","합계",소계,2023,5764,5395
"합계","강간·강제추행","합계",종로구,2023,239,1138
"합계","강간·강제추행","합계",중구,2023,212,144
"합계","강간·강제추행","합계",용산구,2023,245,219
"합계","강간·강제추행","합계",성동구,2023,119,85
"합계","강간·강제추행","합계",광진구,2023,238,178
"합계","강간·강제추행","합계",동대문구,2023,146,116
"합계","강간·강제추행","합계",중랑구,2023,169,134
"합계","강간·강제추행","합계",성북구,2023,141,112
"합계","강간·강제추행","합계",강북구,2023,141,102
"합계","강간·강제추행","합계",도봉구,2023,90,72
"합계","강간·강제추행","합계",노원구,2023,159,131
"합계","강간·강제추행","합계",은평구,2023,153,126
"합계","강간·강제추행","합계",서대문구,2023,160,132
"합계","강간·강제추행","합계",마포구,2023,447,339
"합계","강간·강제추행","합계",양천구,2023,113,93
"합계","강간·강제추행","합계",강서구,2023,300,225
"합계","강간·강제추행","합계",구로구,2023,194,144
"합계","강간·강제추행","합계",금천구,2023,128,95
"합계","강간·강제추행","합계",영등포구,2023,310,217
"합계","강간·강제추행","합계",동작구,2023,191,107
"합계","강간·강제추행","합계",관악구,2023,328,268
"합계","강간·강제추행","합계",서초구,2023,412,300
"합계","강간·강제추행","합계",강남구,2023,678,567
"합계","강간·강제추행","합계",송파구,2023,307,229
"합계","강간·강제추행","합계",강동구,2023,144,122
"합계","절도","합계",소계,2023,37038,21600
"합계","절도","합계",종로구,2023,1169,953
"합계","절도","합계",중구,2023,1520,864
"합계","절도","합계",용산구,2023,978,561
"합계","절도","합계",성동구,2023,893,472
"합계","절도","합계",광진구,2023,1616,830
"합계","절도","합계",동대문구,2023,1280,847
"합계","절도","합계",중랑구,2023,1402,786
"합계","절도","합계",성북구,2023,984,683
"합계","절도","합계",강북구,2023,917,730
"합계","절도","합계",도봉구,2023,995,582
"합계","절도","합계",노원구,2023,1632,845
"합계","절도","합계",은평구,2023,1614,1070
"합계","절도","합계",서대문구,2023,1194,668
"합계","절도","합계",마포구,2023,1472,856
"합계","절도","합계",양천구,2023,1404,732
"합계","절도","합계",강서구,2023,1794,1243
"합계","절도","합계",구로구,2023,1624,849
"합계","절도","합계",금천구,2023,987,629
"합계","절도","합계",영등포구,2023,1854,1192
"합계","절도","합계",동작구,2023,1183,601
"합계","절도","합계",관악구,2023,2013,1166
"합계","절도","합계",서초구,2023,1941,934
"합계","절도","합계",강남구,2023,2480,1284
"합계","절도","합계",송파구,2023,2416,1243
"합계","절도","합계",강동구,2023,1676,980
"합계","폭력","합계",소계,2023,43132,37567
"합계","폭력","합계",종로구,2023,1563,1381
"합계","폭력","합계",중구,2023,1607,1449
"합계","폭력","합계",용산구,2023,1792,1481
"합계","폭력","합계",성동구,2023,1007,851
"합계","폭력","합계",광진구,2023,1563,1320
"합계","폭력","합계",동대문구,2023,1522,1329
"합계","폭력","합계",중랑구,2023,1745,1546
"합계","폭력","합계",성북구,2023,1284,1161
"합계","폭력","합계",강북구,2023,1431,1302
"합계","폭력","합계",도봉구,2023,825,743
"합계","폭력","합계",노원구,2023,1766,1621
"합계","폭력","합계",은평구,2023,1716,1474
"합계","폭력","합계",서대문구,2023,1026,834
"합계","폭력","합계",마포구,2023,1908,1688
"합계","폭력","합계",양천구,2023,1494,1303
"합계","폭력","합계",강서구,2023,2195,2070
"합계","폭력","합계",구로구,2023,1900,1620
"합계","폭력","합계",금천구,2023,1116,1022
"합계","폭력","합계",영등포구,2023,2232,1956
"합계","폭력","합계",동작구,2023,1262,1049
"합계","폭력","합계",관악구,2023,2402,2035
"합계","폭력","합계",서초구,2023,2153,1802
"합계","폭력","합계",강남구,2023,3571,3112
"합계","폭력","합계",송파구,2023,2483,2035
"합계","폭력","합계",강동구,2023,1569,1383
